"updated_publication","publication","doi","updated_DOI","DOI","ID_PUB"
NA,"Charles, D.F., and D.R. Whitehead. 1984. Paleoecological Investigation of Recent Lake Acidification (PIRLA): December 1984 Status Report. RP 2174-10, Electric Power Research Institute, Palo Alto, CA.;
Charles, D.F., and D.R. Whitehead. 1986. Paleoecological Investigation of Recent Lake Acidification (PIRLA): Methods and Project Description. EPRI EA-4906, Electric Power Research Institute, Palo Alto, CA.;
Shane, L.C.K. 1987. Northern Great Lakes States pollen and charcoal data. PIRLA Unpublished Report Series 9, Indiana University, Bloomington, IN.;
Kingston, J.C., R.B. Cook, R.G. Kreis, Jr., K.E. Camburn, S.A. Norton, P.R. Sweets, M.W. Binford, M.J. Mitchell, S.C. Schindler, L.C.K. Shane, and G.A. King. 1990. Paleoecological investigation of recent lake acidification in the northern Great Lakes states. Journal of Paleolimnology 4(2):153-201. [DOI: 10.1007/BF00226322]","10.1007/BF00226322",NA,"10.1007/BF00226322",148
NA,"Clague, J.J., and R.W. Mathewes. 1996. Neoglaciation, glacier-dammed lakes, and vegetation change in northwestern British Columbia, Canada. Arctic and Alpine Research 28:10-24.;
Clague, J.J., B. Wohlfarth, J. Ayotte, M. Eriksson, I. Hutchinson, R.W. Mathewes, I.R. Walker, and L. Walker. 2004. Late Holocene environmental change at treeline in the northern Coast Mountains, British Columbia, Canada. Quaternary Science Reviews 23:2413-2431.",NA,NA,"",149
NA,"Clisby, K.H., and F. Foreman. 1956. Pleistocene climatic changes in New Mexico. U.S.A. Veröffentlichungen des Geobotanisches Institutes Rübel der Eidgenössischen Technischen Hochschule, Stiftung Rübel, Zürich 34:22-26.;
Clisby, K.H., and F. Foreman. 1962. Palynology - diastrophism - erosion. Field excursion guide, 1st International Pollen Conference, Tucson, Arizona, USA.;
Markgraf, V., J.P. Bradbury, R.M. Forester, G. Singh, and R.S. Sternberg. 1984. San Agustin Plains, New Mexico: age and paleoenvironmental potential reassessed. Quaternary Research 22:336-343.",NA,NA,"",150
NA,"Cole, H.S. 1969. Objective reconstruction of the paleoclimate record through application of eigenvectors of present-day pollen spectra and climate to the late Quaternary pollen stratigraphy. Doctoral dissertation. University of Wisconsin, Madison, Wisconsin, USA.",NA,NA,"",151
NA,"Cole, K.L., and G.-W. Liu. 1994. Holocene paleoecology of an estuary on Santa Rosa Island, California. Quaternary Research 41:326-335.",NA,NA,"",152
NA,"Cole, K.L., and R.S. Taylor. 1995. Past and current trends of change in a dune prairie/oak savanna reconstructed through a multiple-scale history. Journal of Vegetation Science 6:399-410.",NA,NA,"",153
NA,"Colman, S.M., D.S. Kaufman, J. Bright, C. Heil, J.W. King, W.E. Dean, J.G. Rosenbaum, R.M. Forester, J.L. Bischoff, M. Perkins, and J.P. McGeehin. 2006. Age model for a continuous, ca 250-ka Quaternary lacustrine record from Bear Lake, Utah-Idaho. Quaternary Science Reviews 25:2271-2282.;
Jimenez-Moreno, G., R.S. Anderson, and P.J. Fawcett. 2007. Orbital- and millennial-scale vegetation and climate changes of the past 225 ka from Bear Lake, Utah-Idaho (USA). Quaternary Science Reviews 26:1713-1724.",NA,NA,"",154
NA,"Colombaroli, D., and D.G. Gavin. 2010. Highly episodic fire and erosion regime over the past 2,000 y in the Siskiyou Mountains, Oregon. Proceedings of the National Academy of Sciences of the USA 107(44):18909-18914. [DOI: 10.1073/pnas.1007692107];
Morey, A.E., C.E. Goldfinger, C.E. Briles, D.G. Gavin, D. Colombaroli, and J.E. Kusler. 2013. Are great Cascadia earthquakes recorded in the sedimentary records from small forearc lakes?. Natural Hazards and Earth System Sciences 13(10):2441-2463. [DOI: 10.5194/nhess-13-2441-2013]","10.1073/pnas.1007692107];;
10.5194/nhess-13-2441-2013",NA,"10.1073/pnas.1007692107;
10.5194/nhess-13-2441-2013",155
NA,"Commerford, J.L., B. Leys, J.R. Mueller, and K.K. McLauchlan. 2016. Great Plains vegetation dynamics in response to fire and climatic fluctuations during the Holocene at Fox Lake, Minnesota (USA). The Holocene 26(2):302-313.",NA,NA,"",156
NA,"Commerford, J.L., E.C. Grimm, C.J. Morris, A. Nurse, I. Stefanova, and K.K. McLauchlan. 2018. Regional variation in Holocene climate quantified from pollen in the Great Plains of North America. International Journal of Climatology 38(4):1794-1807. [DOI: 10.1002/joc.5296]","10.1002/joc.5296",NA,"10.1002/joc.5296",157
NA,"Commerford, J.L., E.C. Grimm, C.J. Morris, A. Nurse, I. Stefanova, and K.K. McLauchlan. 2018. Regional variation in Holocene climate quantified from pollen in the Great Plains of North America. International Journal of Climatology 38(4):1794-1807. [DOI: 10.1002/joc.5296];
Morris, C.J. 2011. Analysis of modern pollen data from the prairies of central North America. Master's thesis. Kansas State University, Manhattan, Kansas, USA.","10.1002/joc.5296];",NA,"10.1002/joc.5296",158
NA,"Commerford, J.L., K.K. McLauchlan, and S. Sugita. 2013. Calibrating vegetation cover and grassland pollen assemblages in the Flint Hills of Kansas, USA. American Journal of Plant Sciences 4(7A):1-10. [DOI: 10.4236/ajps.2013.47A1001];
McLauchlan, K.K., J.L. Commerford, and C.J. Morris. 2013. Tallgrass prairie pollen assemblages in mid-continental North America. Vegetation History and Archaeobotany 22(3):171-183. [DOI: 10.1007/s00334-012-0369-8];
Commerford, J.L. 2010. Calibrating vegetation cover and pollen assemblages in the Flint Hills of Kansas, U.S.A.. Master's thesis. Kansas State University, Manhattan, Kansas, USA.","10.4236/ajps.2013.47A1001];;
10.1007/s00334-012-0369-8];",NA,"10.4236/ajps.2013.47A1001;
10.1007/s00334-012-0369-8",159
NA,"Comtois, P.G. 1979. Histoire holocène du climat et de la végétation à Lanoraie. Mémoire de M.Sc., département de Géographie, Université de Montréal, 322 pages.;
Comtois, P.G. 1982. Histoire holocène du climat et de la végétation à Lanoraie (Québec). Canadian Journal of Earth Science 19:1938-1952.",NA,NA,"",160
NA,"Cooke, M.J., L.A. Stern, J.L. Banner, L.E. Mack, T.W. Stafford, and R.S. Toomey III. 2003. Precise timing and rate of massive late Quaternary soil denudation. Geology 31:853-856.;
Cordova, C.E., and W.C. Johnson. 2019. An 18 ka to present pollen and phytolith-based vegetation reconstruction from Hall's Cave, south-central Texas, USA. Quaternary Research 92:497-518.",NA,NA,"",161
NA,"Cordova, C.E., and W.C. Johnson. 2019. An 18 ka to present pollen and phytolith-based vegetation reconstruction from Hall's Cave, south-central Texas, USA. Quaternary Research 92:497-518.",NA,NA,"",162
NA,"Correa-Metrio, A., M.B. Bush, D.A. Hodell, M. Brenner, J. Escobar, and T. Guilderson. 2012. The influence of abrupt climate change on the ice-age vegetation of the Central American lowlands. Journal of Biogeography 39(3):497-509. [DOI: 10.1111/j.1365-2699.2011.02618.x];
Correa-Metrio, A., M.B. Bush, K.R. Cabrera, S. Sully, M. Brenner, D.A. Hodell, J. Escobar, and T. Guilderson. 2012. Rapid climate change and no-analog vegetation in lowland Central America during the last 86,000 years. Quaternary Science Reviews 38:63-75. [DOI: 10.1016/j.quascirev.2012.01.025]","10.1111/j.1365-2699.2011.02618.x];;
10.1016/j.quascirev.2012.01.025",NA,"10.1111/j.1365-2699.2011.02618.x;
10.1016/j.quascirev.2012.01.025",163
NA,"Courtney Mustaphi, C.J., and M.F.J. Pisaric. 2014. Holocene climate–fire–vegetation interactions at a subalpine watershed in southeastern British Columbia, Canada. Quaternary Research 81:228-239.",NA,NA,"",164
NA,"Craig, A.J. 1969. Vegetational history of the Shenandoah Valley, Virginia. Geological Society of America Special Paper 123:283-296.",NA,NA,"",165
NA,"Crausbay, S.D. 2011. Vegetation-climate relationships across space and time at high elevation in Hawai'i. Doctoral dissertation. University of Wisconsin-Madison, Madison, Wisconsin, USA.;
Crausbay, S.D., and S.C. Hotchkiss. 2012. Pollen–vegetation relationships at a tropical cloud forest's upper limit and accuracy of vegetation inference. Review of Palaeobotany and Palynology 184:1-13. [DOI: 10.1016/j.revpalbo.2012.07.010]","10.1016/j.revpalbo.2012.07.010",NA,"10.1016/j.revpalbo.2012.07.010",166
NA,"Crausbay, S.D., P.H. Martin, and E.F. Kelly. in press. Tropical montane vegetation dynamics near the upper cloud belt strongly associated with a shifting ITCZ and fire. Journal of Ecology.",NA,NA,"",167
NA,"Crawford, J.N. 2012. Evidence for Native American land-use impacts on forest structure and fire regimes in the Lower Klamath River Region of California. Doctoral dissertation. University of Nevada, Reno, Reno, Nevada, USA.;
Crawford, J.N., S.A. Mensing, F.K. Lake, and S.R.H. Zimmerman. 2015. Late Holocene fire and vegetation reconstruction from the western Klamath Mountains, California, USA: a multidisciplinary approach for examining potential human land-use impacts. The Holocene 25(8):1341-1357. [DOI: 10.1177/0959683615584205]","10.1177/0959683615584205",NA,"10.1177/0959683615584205",168
NA,"Cridlebaugh, P.A. 1984. American Indian and Euro-American impact upon Holocene vegetation in the Lower Little Tennessee River Valley, East Tennessee. Dissertation. University of Tennessee, Knoxville, Tennessee, USA.;
Delcourt, P.A., H.R. Delcourt, P.A. Cridlebaugh, and J. Chapman. 1986. Holocene ethnobotanical and paleoecological record of human impact on vegetation in the Little Tennessee River Valley, Tennessee. Quaternary Research 25:330-349.",NA,NA,"",169
NA,"Cushing, E.J. 1967. Late-Wisconsin pollen stratigraphy and the glacial sequence in Minnesota. Pages 59-88 in E.J. Cushing and H.E. Wright, Jr., editors. Quaternary paleoecology. Yale University Press, New Haven, Connecticut, USA.;
Cushing, E.J. 1963. Late-Wisconsin pollen stratigraphy in east-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.;
Stuiver, M., E.S. Deevey, Jr., and I. Rouse. 1963. Yale Natural Radiocarbon measurements VIII. Radiocarbon 5:312-341. [DOI: 10.1017/S0033822200036936]","10.1017/S0033822200036936",NA,"10.1017/S0033822200036936",170
NA,"Cwynar, L.C. 1980. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Dissertation. University of Toronto, Toronto, Ontario, Canada.;
Cwynar, L.C. 1982. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Ecological Monographs 52:1-24.",NA,NA,"",171
NA,"Cwynar, L.C. 1987. Fire and the forest history of the North Cascade Range. Ecology 68(4):791-802. [DOI: 10.2307/1938350]","10.2307/1938350",NA,"10.2307/1938350",172
NA,"Cwynar, L.C., and R.W. Spear. 1995. Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP. Géographie Physique et Quaternaire 49(1):29-35. [DOI: 10.7202/033027ar]","10.7202/033027ar",NA,"10.7202/033027ar",173
NA,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213.",NA,NA,"",174
NA,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213.;
Davis, A.M. 1979. Wetland succession, fire and the pollen record: a midwestern example. American Midland Naturalist 102(1):86-94. http://www.jstor.org/discover/10.2307/2425069?uid=3739656.",NA,NA,"",175
NA,"Davis, A.M. 1980. Modern pollen spectra from the tundra-boreal forest transition in northern Newfoundland, Canada. Boreas 9:89-100.;
Davis, A.M. 1984. Ombrotrophic peatlands in Newfoundland, Canada:their origins, development and trans-Atlantic affinities. Chemical Geology 44:287-309.",NA,NA,"",176
NA,"Davis, A.M., J.H. McAndrews, and B.L. Wallace. 1988. Paleoenvironment and the archaeological record at the L'Anse aux Meadows site, Newfoundland. Geoarcheology 3:53-64.",NA,NA,"",177
NA,"Davis, M., C. Douglas, R. Calcote, K.L. Cole, M.G. Winkler, and R. Flakne. 2000. Holocene climate in the western Great Lakes national parks and lakeshores: implications for future climate change. Conservation Biology 14(4):968-983. [DOI: 10.1046/j.1523-1739.2000.99219.x]","10.1046/j.1523-1739.2000.99219.x",NA,"10.1046/j.1523-1739.2000.99219.x",178
NA,"Davis, M.B. 1958. Three pollen diagrams from central Massachusetts. American Journal of Science 256:540-570. http://www.ajsonline.org/content/256/8/540.citation. [DOI: 10.2475/ajs.256.8.540]","10.2475/ajs.256.8.540",NA,"10.2475/ajs.256.8.540",179
NA,"Davis, M.B. 1967. Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time. Review of Paleobotany and Palynology 2(1-4):219-230. http://deepblue.lib.umich.edu/handle/2027.42/33322.;
Davis, M.B., and E.S. Deevey, Jr. 1964. Pollen accumulation rates: estimates from late-glacial sediment of Rogers Lake. Science 145:1293-1295.;
Davis, M.B. 1969. Climatic changes in southern Connecticut recorded by pollen deposition at Rogers Lake. Ecology 50:409-422.",NA,NA,"",180
NA,"Davis, M.B., and J.C. Goodlett. 1960. Comparison of the present vegetation with pollen‐spectra in surface samples from Brownington Pond, Vermont. Ecology 41(2):346-357. [DOI: 10.2307/1930226]","10.2307/1930226",NA,"10.2307/1930226",181
NA,"Davis, M.B., M.W. Schwartz, and K. Woods. 1991. Detecting a species limit from pollen in sediments. Journal of Biogeography 18(6):653-668. [DOI: 10.2307/2845547]","10.2307/2845547",NA,"10.2307/2845547",182
NA,"Davis, M.B., R.W. Spear, and L.C.K. Shane. 1980. Holocene climate of New England. Quaternary Research 14:240-250.;
Spear, R.W., M.B. Davis, and L.C.K. Shane. 1994. Late Quaternary history of low- and mid-elevation vegetation in the White Mountains of New Hampshire. Ecological Monographs 64:85-109.",NA,NA,"",183
NA,"Davis, O.K. 1981. Vegetation migration in southern Idaho during the late Quaternary and Holocene. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.;
Davis, O.K., J.C. Sheppard, and S. Robertson. 1986. Contrasting climatic histories for the Snake River Plain, Idaho, resulting from multiple thermal maxima. Quaternary Research 26:321-339.",NA,NA,"",184
NA,"Davis, O.K. 1992. Rapid climatic change in coastal southern California inferred from pollen analysis of San Joaquin Marsh. Quaternary Research 37:89-100.",NA,NA,"",185
NA,"Davis, O.K. 1999. Pollen analysis of a late-glacial and Holocene sediment core from Mono Lake, Mono County, California. Quaternary Research 52(2):243-249. [DOI: 10.1006/qres.1999.2063]","10.1006/qres.1999.2063",NA,"10.1006/qres.1999.2063",186
NA,"Davis, O.K., and M.J. Moratto. 1988. Evidence for a warm dry early Holocene in the western Sierra Nevada of California: pollen and plant macrofossil analysis of Dinkey and Exchequer Meadows. Madroño 35:132-149.",NA,NA,"",187
NA,"Davis, R.B. 1967. Pollen studies of near-surface sediments in Maine Lakes. Pages 143-173 in E.J. Cushing and H.E. Wright, Jr., editors. Quaternary paleoecology. Volume 7. Proceedings of the VII Congress of the International Association for Quaternary Research. Yale University Press, New Haven, Connecticut, USA.",NA,NA,"",188
NA,"Davis, R.B., T.E. Bradstreet, R. Stuckenrath, Jr., and H.W. Borns, Jr. 1975. Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine. Quaternary Research 5(3):436-465. http://www.sciencedirect.com/science/article/pii/0033589475900411.",NA,NA,"",189
NA,"De Lanois, J.L. 1993. Climatic change during the late Holocene from a south central Colorado lake. Master's thesis. University of Arizona, Tuscon, Arizona, USA.",NA,NA,"",190
NA,"Deevey, E.S., Jr. 1944. Pollen analysis and Mexican archeology: an attempt to apply the method. American Antiquity 10(135-149).;
Hutchinson, G.E., R. Patrick, and E.S. Deevey, Jr. 1956. Sediments of Lake Patzcuaro, Michoacan, Mexico. Bulletin of the Geological Society of America 67:1491-1504.;
Watts, W.A., and J.P. Bradbury. 1982. Paleoecological studies at Lake Patzcuaro on the west-central Mexican Plateau and at Chalco in the Basin of Mexico. Quaternary Research 17:56-70.;
Saporito, M.S. 1975. Chemical and mineral studies of a core from Lake Patzcuaro, Mexico. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,"",191
NA,"Del Priore, T.M. 2007. 4,000 years of environmental change in central Colorado: a Paleoecological perspective. Master's thesis. University of Colorado, Boulder, CO, USA.",NA,NA,"",192
NA,"Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49(3):255-280. [DOI: 10.2307/1942485]","10.2307/1942485",NA,"10.2307/1942485",193
NA,"Delcourt, H.R., and P.A. Delcourt. 1994. Postglacial rise and decline of Ostrya virginiana (Mill.) K. Koch and Carpinus caroliniana Walt. in Eastern North America: predictable responses of forest species to cyclic changes in seasonality of climates. Journal of Biogeography 21(2):137-150. [DOI: 10.2307/2845468];
Smith, E.N., Jr. 1984. Late-Quaternary vegetational history at Cupola Pond, Ozark National Scenic Riverways, southeastern Missouri. Master's thesis. University of Tennessee, Knoxville, Tennessee, USA.","10.2307/2845468];",NA,"10.2307/2845468",194
NA,"Delcourt, H.R., P.A. Delcourt, and E.C. Spiker. 1983. A 12,000-year record of forest history from Cahaba Pond, St. Clair County, Alabama. Ecology 64:874-887.",NA,NA,"",195
NA,"Delcourt, P.A., H.R. Delcourt, R.C. Brister, and L.E. Lackey. 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research 13:111-132.",NA,NA,"",196
NA,"Delcourt, P.A., P.L. Nester, H.R. Delcourt, C.I. Mora, and K.H. Orvis. 2002. Holocene lake-effect precipitation in northern Michigan. Quaternary Research 57:225-233.",NA,NA,"",197
NA,"Dibb, G.C. 1985. Late palaeo-indian settlement patterns along the margins of the Simcoe Lowlands in southcentral Ontario. Thesis. Department of Anthropology, Trent University, Peterborough, Ontario. 273 pp.",NA,NA,"",198
NA,"Dieffenbacher-Krall, A.C. 1997. Paleoecology and historical ecology of an extensive bluejoint reedgrass grassland in coastal eastern Maine.P.D. Vickery and P.W. Dunwiddie, editors. Grasslands of Northeastern North America: Ecology and Conservation of Native and Agricultural Landscapes. Audubon Society, Lincoln, Massachusetts, USA.;
Dieffenbacher-Krall, A.C. 1996. Paleo and historical ecology of the Cutler Grasslands, Cutler, Maine (USA): implications for future management. Natural Areas Journal 16:3-13.",NA,NA,"",199
NA,"Dietz, S.A., W.R. Hildebrandt, and T. Jones. 1988. Archaeological investigations at Elkhorn Slough: CA-MNT-229 A Middle Period site on the central California coast. Papers in Northern California Anthropology, Northern California Anthropological Group, Berkeley, California, USA.",NA,NA,"",200
NA,"Dinel, H., P.J.H. Richard, P.E.M. Levésque, and A.C. Larouche. 1986. Origine et évolution du marais tourbeux de Keswick, Ontario, par l'analyse pollinique et macrofossile. Canadian Journal of Earth Sciences 23:1145-1155.",NA,NA,"",201
NA,"Doerner, J.P. 1994. The late-Quaternary environmental history of Mt. Evans: Pollen and stratigraphic evidence from Clear Creek, Colorado. Doctoral dissertation. University of Denver, Denver, Colorado, USA.",NA,NA,"",202
NA,"Donders, T.H., F. Wagner, and H. Visscher. 2005. Quantification strategies for human-induced and natural hydrological changes in wetland vegetation, southern Florida, USA. Quaternary Research 64(3):333-342. [DOI: 10.1016/j.yqres.2005.08.016]","10.1016/j.yqres.2005.08.016",NA,"10.1016/j.yqres.2005.08.016",203
NA,"Donders, T.H., F. Wagner, D.L. Dilcher, and H. Visscher. 2005. Mid- to late-Holocene El Nino-Southern Oscillation dynamics reflected in the subtropical terrestrial realm. Proceedings of the National Academy of Sciences of the United States of America 102(31):10904-10908. [DOI: 10.1073/pnas.0505015102]","10.1073/pnas.0505015102",NA,"10.1073/pnas.0505015102",204
NA,"Doner, L.A. 2001. Late Holocene paleolimnology and paleoclimatology from sub-arctic lakes in Nunavut, Canada and Iceland. Doctoral dissertation. University of Colorado, Boulder, Colorado, USA.",NA,NA,"",205
NA,"Dredge, L.A., and R.J. Mott. 2003. Holocene pollen records and peatland development, northeastern Manitoba. Géographie physique et Quaternaire 57:7-19.",NA,NA,"",206
NA,"Dunnette, P.V., P.E. Higuera, K.K. McLauchlan, K.M. Derr, C.E. Briles, and M.H. Keefe. 2014. Biogeochemical impacts of wildfires over four millennia in a Rocky Mountain subalpine watershed. New Phytologist 203(3):900-912. [DOI: 10.1111/nph.12828];
Chileen, B.V. 2019. Vegetation response to wildfire and climate forcing in a Rocky Mountain lodgepole pine forest over the past 2,500 years. Master's thesis. Kansas State University, Manhattan, Kansas, USA.","10.1111/nph.12828];",NA,"10.1111/nph.12828",207
NA,"Dunwiddie, P.W. 1989. Forest and health: the shaping of the vegetation on Nantucket Island. Journal of Forest History 33:126-133.",NA,NA,"",208
NA,"Dunwiddie, P.W. 1989. Forest and health: the shaping of the vegetation on Nantucket Island. Journal of Forest History 33:126-133.;
Dunwiddie, P.W. 1990. Postglacial vegetation history of coastal islands in southeastern New England. National Geographic Research 6:178-195.",NA,NA,"",209
NA,"Dunwiddie, P.W. 1990. Postglacial vegetation history of coastal islands in southeastern New England. National Geographic Research 6:178-195.",NA,NA,"",210
NA,"Edlund, E.G. 1996. Late Quaternary environmental history of montane forests of the Sierra Nevada. Doctoral dissertation. University of California Berkeley, Berkeley, California, USA.",NA,NA,"",211
NA,"Edwards, K.W. 2015. Environmental dimensions of colonial settlement: A palynological investigation of La Cienega, New Mexico. Master's thesis. University of Massachusetts Boston, Boston, Massachusetts, USA.",NA,NA,"",212
NA,"Edwards, M., L. Franklin-Smith, C. Clarke, J. Baker, S. Hill, and K. Gallagher. 2015. The role of fire in the mid-Holocene arrival and expansion of lodgepole pine (Pinus contorta var. latifolia Engelm. ex S. Watson) in Yukon, Canada. The Holocene 25(1):64-78. [DOI: 10.1177/0959683614556389]","10.1177/0959683614556389",NA,"10.1177/0959683614556389",213
NA,"Edwards, M.E., and E.D. Barker, Jr. 1994. Climate and vegetation in northeastern Alaska 18,000 - present. Paleogeography, Paleoclimatology, and Paleoecology 109:127- 135.",NA,NA,"",214
NA,"Edwards, M.E., and L.B. Brubaker. 1986. Late Quaternary vegetation history of the Fishhook Bend area, Porcupine River, Alaska. Canadian Journal of Earth Sciences 23:1765-1773.",NA,NA,"",215
NA,"Edwards, M.E., and M. Rohr. 2005.;
Rohr, M. 2001. Paleoenvironmental changes at treeline: A 6,500 year long pollen and stable isotope record. Master's thesis. University of Alaska, Fairbanks, Alaska, USA.",NA,NA,"",216
NA,"Edwards, M.E., P.M. Anderson, H.L. Garfinkel, and L.B. Brubaker. 1985. Late Wisconsin and Holocene vegetational history of the Upper Koyukuk region, Brooks Range, Alaska. Canadian Journal of Botany 63:616-626.",NA,NA,"",217
NA,"Edwards, T.W.D., and J.H. McAndrews. 1989. Paleohydrology of a Canadian Shield lake inferred from 18O in sediment cellulose. Canadian Journal of Earth Sciences 26:1850-1859.",NA,NA,"",218
NA,"Eisner, W.R., and P.A. Colinvaux. 1992. Late Quaternary pollen records from Oil Lake and Feniak Lake, Alaska, USA. Arctic and Alpine Research 24:56-63.",NA,NA,"",219
NA,"Engstrom, D.R., and B.C.S. Hansen. 1985. Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy. Canadian Journal of Botany 63(3):543-561. http://www.nrcresearchpress.com/doi/abs/10.1139/b85-070?journalCode=cjb1#.Uke_44bbN8E. [DOI: 10.1139/b85-070]","10.1139/b85-070",NA,"10.1139/b85-070",220
NA,"Evans, N.S. 2002. An Investigation of the Holocene Pollen Record from the Grey Islands, Newfoundland. Master's thesis. Memorial University of Newfoundland, St. John's, Newfoundland, Canada. 138 p.",NA,NA,"",221
NA,"Ewing, H.A. 2000. Ecosystem development and response to climatic change: a comparative study of forest-lake ecosystems on different substrates. Doctoral dissertation. University of Minnesota, St Paul, Minnesota, USA.;
Ewing, H.A. 2002. The influence of substrate on vegetation history and ecosystem development. Ecology 83:2766-2781.",NA,NA,"",222
NA,"Fall, P.L. 1988. Vegetation dynamics in the southern Rocky Mountains: late Pleistocene and Holocene timberline fluctuations. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Fall, P.L. 1985. Holocene dynamics of the subalpine forest in central colorado. American Association of Stratigraphic Palynologists Contribution Series No. 16:31-46.;
Fall, P.L. 1997. Fire history and composition of the subalpine forest of western Colorado during the Holocene. Journal of Biogeography 24:309-325.",NA,NA,"",223
NA,"Fall, P.L. 1988. Vegetation dynamics in the southern Rocky Mountains: late Pleistocene and Holocene timberline fluctuations. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Fall, P.L. 1997. Timberline fluctuations and late Quaternary paleoclimates in the southern Rocky Mountains, Colorado. Geological Society of America Bulletin 109(10):1306-1320. [DOI: 10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2]","10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2",NA,"10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2",224
NA,"Fall, P.L. 1988. Vegetation dynamics in the southern Rocky Mountains: late Pleistocene and Holocene timberline fluctuations. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Fall, P.L., P.T. Davis, and G.A. Zielinski. 1994. Late Quaternary vegetation and climate of the Wind River Range, Wyoming. Quaternary Research 43:393-404.;
Zielinski, G.A., and P.T. Davis. 1987. Late Pleistocene age of the type Temple Lake Moraine, Wind River Range, Wyoming, U.S.A. Géographie physique et Quaternaire 41:397-401.",NA,NA,"",225
NA,"Fearn, M.L. 1995. Holocene history of a southern grassland. Doctoral dissertation. Louisiana State University, Baton Rouge, Louisiana, USA.",NA,NA,"",226
NA,"Feiler, E.J., R.S. Anderson, and P.A. Koehler. 1997. Late Quaternary paleoenvironments of the White River plateau, Colorado, U.S.A. Arctic and Alpine Research 29:53-62..",NA,NA,"",227
NA,"Finkelstein, S.A., and A.M. Davis. 2005. Modern pollen rain and diatom assemblages in a Lake Erie coastal marsh. Wetlands 25:551-563.;
Finkelstein, S.A., and A.M. Davis. 2006. Paleoenvironmental records of water level and climatic changes from the middle to late Holocene at a Lake Erie coastal wetland, Ontario, Canada. Quaternary Research 65:33-43.",NA,NA,"",228
NA,"Finkelstein, S.A., M.C. Peros, and A.M. Davis. 2005. Late Holocene paleoenvironmental change in a Great Lakes coastal wetland: integrating pollen and diatom datasets. Journal of Paleolimnology 33:1-12.",NA,NA,"",229
NA,"Foster, D.R., and T.M. Zebryk. 1993. Long-term vegetation dynamics and disturbance history of a Tsuga-dominated forest in New England. Ecology 74(4):982-998.;
Zebryk, T.M. 1991. Holocene development of a forested wetland in central Massachusetts. Master's thesis. Harvard University, Cambridge, Massachusetts, USA.;
Zebryk, T.M., and D.R. Foster. 2003. Harvard Forest HF100: Holocene development of a forested wetland in central Massachusetts from 12500 BP to present. http://harvardforest.fas.harvard.edu:8080/exist/xquery/data.xq?id=hf100.",NA,NA,"",230
NA,"Foster, D.R., S. Clayden, D.A. Orwig, B. Hall, and S. Barry. 2002. Oak, chestnut and fire: climatic and cultural controls of long-term forest dynamics in New England, USA. Journal of Biogeography 29:1359-1379.",NA,NA,"",231
NA,"Fredlund, G.G. 1992. Analysis of Quaternary pollen from Cheyenne Bottoms, Kansas: evidence for late Quaternary vegetation and climates in the Central Great Plains. Dissertation. University of Kansas, Lawrence, Kansas, USA.;
Fredlund, G.G. 1995. Late Quaternary pollen record from Cheyenne Bottoms, Kansas. Quaternary Research 43:67-79.",NA,NA,"",232
NA,"Friel, C.E., S.A. Finkelstein, and A.M. Davis. 2014. Relative importance of hydrological and climatic controls on Holocene paleoenvironments inferred using diatom and pollen records from a lake in the cnetral Hudson Bay Lowlands, Canada. The Holocene 24(3):295-306. [DOI: 10.1177/0959683613518587]","10.1177/0959683613518587",NA,"10.1177/0959683613518587",233
NA,"Fritz, M., U. Herzschuh, S. Wetterich, H. Lantuit, G.P. De Pascale, W.H. Pollard, and L. Schirrmeister. 2012. Late glacial and Holocene sedimentation, vegetation, and climate history from easternmost Beringia (northern Yukon Territory, Canada). Quaternary Research 78:549-560.",NA,NA,"",234
