"site.id","site.name","dataset.id","citation"
3144,"Hirschenmoor",4091,"Lotter, A.F., and A. Hölzer. 1989. Spätglaziale Umweltverhältnisse im Südschwarzwald: Erste Ergebnisse paläolimnologischer und paläoökologischer Untersuchungen an Seesedimenten des Hirschenmoores. Carolinea 47:7-14."
3145,"Hirvilampi",4092,"Rankama, T., and I. Vuorela. 1988. Between inland and coast in Metal Age Finland - human impact on the primeval forests of Southern Häme during the Iron Age. Memoranda Societatis Pro Fauna et Flora Fennica 64:25-34."
3146,"Hitchin",4094,"Gibbard, P.L. 1974. Pleistocene stratigraphy and vegetational history of Hertfordshire. Doctoral dissertation. University of Cambridge, Cambridge, UK."
3146,"Hitchin",4094,"Boreham, S., and P.L. Gibbard. 1995. Middle Pleistocene Hoxnian Stage interglacial deposits at Hitchin, Hertfordshire, England. Proceedings of the Geologists' Association 106:259-270. https://kundoc.com/pdf-middle-pleistocene-hoxnian-stage-interglacial-deposits-at-hitchin-hertfordshire-.html."
3146,"Hitchin",4093,"Boreham, S., and P.L. Gibbard. 1995. Middle Pleistocene Hoxnian Stage interglacial deposits at Hitchin, Hertfordshire, England. Proceedings of the Geologists' Association 106:259-270. https://kundoc.com/pdf-middle-pleistocene-hoxnian-stage-interglacial-deposits-at-hitchin-hertfordshire-.html."
3147,"Hockham Mere",4095,"Bennett, K.D. 1983. Devensian late-glacial and flandrian vegetational history at Hockham mere, Norfolk, England. New Phytologist 95(489-504). https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1983.tb03512.x. [DOI: 10.1111/j.1469-8137.1983.tb03512.x]"
3147,"Hockham Mere",4095,"Godwin, H., and P.A. Tallantire. 1951. Studies of the Post-glacial history of British vegetation XII. Hockam Mere, Norfolk. Journal of Ecology 39(2):285-307. https://www.jstor.org/stable/2257913. [DOI: 10.2307/2257913]"
3148,"Haut-Clion",4096,"Bernard, J. 1996. Paléoenvironnement du Pays de Retz et du marais breton-vendéen. Doctoral dissertation. Université de Nantes, Nantes, France. Notes: vol. I, texte: 190p., vol. II, illustrations: 55p."
3149,"Hoton-Nur",4097,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
3149,"Hoton-Nur",4097,"Tarasov, P.E., N.I. Dorofeyuk, and E. Metel'tseva. 2000. Holocene vegetation and climate changes in Hoton-Nur basin, northwest Mongolia. Boreas 29(2):117-126. [DOI: 10.1111/j.1502-3885.2000.tb01205.x]"
3149,"Hoton-Nur",4097,"Tarasov, P.E., T. Webb III, A.A. Andreev, N.B. Afanas'eva, N.A. Berezina, L.G. Bezusko, T.A. Blyakharchuk, N.S. Bolikhovskaya, R. Cheddadi, M.M. Chernavskaya, G.M. Chernova, N.I. Dorofeyuk, V.G. Dirksen, G.A. Elina, L.V. Filimonova, F.Z. Glebov, J. Guiot, V.S. Gunova, S.P. Harrison, D. Jolly, V.I. Khomutova, E.V. Kvavadze, I.M. Osipova, N.K. Panova, I.C. Prentice, L. Saarse, D.V. Sevastyanov, V.S. Volkova, and V.P. Zernitskaya. 1998. Present-day and mid-Holocene biomes reconstructed from pollen and plant macrofossil data from the former Soviet Union and Mongolia. Journal of Biogeography 25:1029-1053. [DOI: 10.1046/j.1365-2699.1998.00236.x]"
3150,"Houghall Wood",4098,"Huntley, B. 1991. Historical lessons for the future. Pages 473-503 in I.F. Spellerberg, F.B. Goldsmith, and M.G. Morris, editors. The scientific management of temperate communities for conservation. Blackwell, Oxford, UK."
3151,"Hoxne",4099,"West, R.G. 1956. The Quaternary deposits at Hoxne, Suffolk. Philosophical Transactions of the Royal Society of London: B 239(665):265-345. https://www.jstor.org/stable/pdf/92523."
3152,"Hroznotín",4100,"Jankovská, V. 1971. The development of vegetation on the western slopes of the Bohemian-Moravian uplands during the late Holocene period: A study based on pollen and macroscopic analyses. Folia Geobotanica & Phytotaxonomica 6:281-302."
3153,"Hort Timoner",4101,"Yll, E.I., R.P. Pérez-Obiol, J. Pantaléon-Cano, and J.M. Roure. 1997. Palynological evidence for climatic change and human activity during the Holocene on Minorca (Balearic Islands). Quaternary Research 48:339-347."
3154,"Hubsugul",4102,"Tarasov, P.E., M.Y. Pushenko, S.P. Harrison, L. Saarse, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, G.A. Elina, Y.K. Elovicheva, L.V. Filimonova, V.S. Gunova, V.I. Khomutova, E.V. Kvavadze, I.Y. Neustrueva, V.V. Pisareva, V.S. Volkova, T.S. Shelekhova, D.A. Subetto, O.N. Uspenskaya, and V.P. Zernitskaya. 1996. Lake Status Records from the Former Soviet Union and Mongolia: Documentation of the Second Version of the Data Base. NOAA Paleoclimatology Publications Series Report No. 5. NOAA, Boulder, Colorado, USA."
3154,"Hubsugul",4102,"Tarasov, P.E., T. Webb III, A.A. Andreev, N.B. Afanas'eva, N.A. Berezina, L.G. Bezusko, T.A. Blyakharchuk, N.S. Bolikhovskaya, R. Cheddadi, M.M. Chernavskaya, G.M. Chernova, N.I. Dorofeyuk, V.G. Dirksen, G.A. Elina, L.V. Filimonova, F.Z. Glebov, J. Guiot, V.S. Gunova, S.P. Harrison, D. Jolly, V.I. Khomutova, E.V. Kvavadze, I.M. Osipova, N.K. Panova, I.C. Prentice, L. Saarse, D.V. Sevastyanov, V.S. Volkova, and V.P. Zernitskaya. 1998. Present-day and mid-Holocene biomes reconstructed from pollen and plant macrofossil data from the former Soviet Union and Mongolia. Journal of Biogeography 25:1029-1053. [DOI: 10.1046/j.1365-2699.1998.00236.x]"
3155,"Huleh",4103,"Baruch, U., and S. Bottema. 1991. Palynological evidence for climatic changes in the Levant ca. 17000-9000 BP. Pages 11-20 in O. Bar Yosef and F.R. Valla, editors. The Natufian culture in the Levant. International Monograph in Prehistory, Archaeological Serie 1. Ann Arbor, Michigan, USA."
3156,"Ivano-Frankovskoye",4104,"Artyushenko, A.T., R.Y. Arap, and L.G. Bezusko. 1982. Istoriya rastitelnosti zapadnyih oblastey Ukrainyi v chetvertichnom periode. [History of vegetation of western areas of Ukraine in Quartenary period]. Naukova dumka, Kiev, Ukraine."
3157,"Ilgis Lake",4105,"Jaroshiute, J.J. 1965. Application of some chemical indicators for reconstruction of lakes' development in southeast Lithuania. Pages 336-359 in A. Garunkshtis, editor. Stratigraphy of the Quaternary deposits and palaeogeography of the Anthropogen in southeast Lithuania. MIntis, Vilnius, Lithuania. Notes: in Russian"
3157,"Ilgis Lake",4105,"Kabailiene, M.K. 1965. On the stratigraphy and palaeogeography of the Holocene in south-eastern Lithuania. Trudi Instituta geologiyi, Vilnius 2:302-335. Notes: in Russian"
3158,"Ilmen Lake",4106,"Davydova, N.N., D.A. Subetto, and V.I. Khomutova. 1992. Lake Ilmen [in Russian]. Pages 101-117 in Istoria ozer Vostochno-Evropeiskoi ravniny [The lake history of East-European Plain]. St. Petersburg, Russia."
3158,"Ilmen Lake",4106,"Khomutova, V.I. 1989. Paleogeography and biostratigraphy of lake sediments from forest zone of European part of USSR by spore-pollen data [in Russian]. Specialization 11.00.04 - geomorphology and evolution geography. Doctoral dissertation. Leningrad, Russia."
3159,"Imatu Mire",4107,
3159,"Imatu Mire",4107,
3160,"Imbramowice",4109,"Mamakowa, K. 1976. Vegetation of the Eemian interglacial at Imbramowice near Wroclaw. Preliminary report. Acta Palaeobotanica 17(1):27-38."
3160,"Imbramowice",4109,"Mamakowa, K. 1986. Lower boundary of the Vistulian and the early Vistulian pollen stratigraphy in continuous Eemian - early Vistulian pollen sequences in Poland. Quaternary Studies in Poland 7:51-63."
3160,"Imbramowice",4109,"Mamakowa, K. 1989. Late middle Polish glaciation, Eemian and early Vistulian vegetation at Imbramowice near Wroclaw and the pollen stratigraphy of this part of the Pleistocene in Poland. Acta Palaeobotanica 29(1):11-176."
3161,"Inurritza",4110,"Penalba, M.C. 1989. Dynamique de vegetation Tardiglaciaire et Holocene du centre-nord de l'Espagne d'après l'analyse pollinique. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France."
3161,"Inurritza",4110,"Penalba, M.C. 1994. The history of the Holocene vegetation in northern Spain from pollen analysis. Journal of Ecology 82:815-832."
3161,"Inurritza",4111,"Penalba, M.C. 1989. Dynamique de vegetation Tardiglaciaire et Holocene du centre-nord de l'Espagne d'après l'analyse pollinique. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France."
3162,"Ioannina",4112,"Tzedakis, P.C. 1993. Long-term tree populations in northwest Greece through multiple Quaternary climatic cycles. Nature 364:437-440."
3162,"Ioannina",4112,"Tzedakis, P.C. 1994. Vegetation change through glacial-interglacial cycles: a long pollen sequence perspective. Philosophical Transactions of the Royal Society of London, B 345:403-432."
3163,"Ioannina II",4113,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3164,"Ioannina I",4114,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3165,"Isokärret",4115,"Asplund, H., and I. Vuorela. 1989. Settlement studies in Kemiö - archaeological problems and palynological evidence. Fennoskandia Archaeologica 6:67-79."
3166,"Liptovský Ján",4118,
3166,"Liptovský Ján",4118,
3166,"Liptovský Ján",4119,
3166,"Liptovský Ján",4119,
3167,"Jasiel",4120,"Szczepanek, K. 1987. Late-Glacial and Holocene pollen diagrams from Jasiel in the low Beshid Mountains, the Carpathians. Acta Palaeobotanica 27(1):9-26."
3167,"Jasiel",4120,"Szczepanek, K. 1989. Type region P-c: Low Beskidy Mountains. Acta Palaeobotanica 29(2):17-23."
3168,"Spolí",4121,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3169,"Velanská cesta",4122,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3170,"Červené blato",4125,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3170,"Červené blato",4123,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3170,"Červené blato",4124,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3171,"Borkovická blata",4127,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3171,"Borkovická blata",4126,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3171,"Borkovická blata",24256,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3172,"Branná",4128,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3173,"Barbora",4129,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3174,"Švarcenberk",24084,"Pokorný, P. 2002. A high-resolution record of Late-Glacial and Early-Holocene climatic and environmental change in the Czech Republic. Quaternary International 91(1):101-122. [DOI: 10.1016/S1040-6182(01)00105-7]"
3174,"Švarcenberk",24084,"Pokorný, P., and V. Jankovská. 2000. Long-Term Vegetation Dynamics and the Infilling Process of a Former Lake (Švarcenberk, Czech Republic). Folia Geobotanica 35(4):433-457."
3174,"Švarcenberk",24086,"Pokorný, P., P. Šída, P. Kuneš, and O. Chvojka. 2008. Mezolitické osídlení bývalého jezera Švarcenberk (jižní Čechy) v kontextu vývoje přírodního prostředí [Mesolithic occupation in the area of Lake Švarcenberk (South Bohemia) in the context of environmental development]. Pages 145–176 in J. Beneš and P. Pokorný, editors. Bioarcheologie v České republice – Bioarchaeology in the Czech Republic. Jihočeská Univerzita, PřF; Archeologický ústav AV ČR, České Budějovice; Praha."
3174,"Švarcenberk",4130,"Jankovská, V. 1980. Paläogeobotanische Rekonstruktion der Vegetationsentwicklung im Becken Třeboňská pánev während des Spätglazials und Holozäns. Vegetace ČSSR A11:1-151."
3174,"Švarcenberk",4130,"Pokorný, P., and V. Jankovská. 2000. Long-Term Vegetation Dynamics and the Infilling Process of a Former Lake (Švarcenberk, Czech Republic). Folia Geobotanica 35(4):433-457."
3175,"Jestřebské blato",4131,"Jankovská, V. 1991. Vegetationsverhältnisse und Naturumwelt des Beckens Jestřebská kotlina am Ende des Spätglazials und im Holozän (Doksy-Gebiet). Folia Geobotanica and Phytotaxonomica 27:137-148."
3176,"Plan du Jeu",4132,"David, F. 1993. Evolutions de la limite supérieure des arbres dans les Alpes françaies du nord depuis la fin des temps glaciaires.. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France. Notes: volume 1: 94p, volume 2: diagrams and tables."
3177,"Kaarkotinlampi",4133,"Vuorela, I. 1981. The vegetational and settlement history in Sysmä, central south Finland, interpreted on the basis of two pollen diagrams. Bulletin of the Geological Society of Finland 53(1):47-61. http://www.geologinenseura.fi/bulletin/Volume53/sgs_bt_053_1_pages_047_061.pdf."
3178,"Kaartlamminsuo",4134,"Rankama, T., and I. Vuorela. 1988. Between inland and coast in Metal Age Finland - human impact on the primeval forests of Southern Häme during the Iron Age. Memoranda Societatis Pro Fauna et Flora Fennica 64:25-34."
3179,"Kalven",4135,"Björck, S., and P. Möller. 1987. Late Weichselian environmental history in southeastern Sweden during the deglaciation of the Scandinavian ice sheet. Quaternary Research 28:1-37. [DOI: https://doi.org/10.1016/0033-5894(87)90030-5]"
3180,"Kangerjoki",4136,"Hicks, S. 1975. Variations in pollen frequency in a bog at Kangerjoki, N.E. Finland during the Flandrian. Commentationes Biologicae 80:4-28."
3181,"Kararmik Batakligi",4137,"Van Zeist, W., H. Woldring, and D. Stapert. 1975. Late Quaternary vegetation and climate of southwestern Turkey. Palaeohistoria 17:53-144."
3182,"Karasieozerskoe",4138,"Panova, N.K. 1997. Palinologicheskoe issledovanie Karasieozerskogo torfyanika na srednem Urale [Palynological study of Karasieozerskiy peatland on Middle Ural]. Pages 28-31 in Issledovanie lesov Urala. Materialy nauchnykh chteniy posvyaschennykh pamyati B.P. Kolesnikova [Investigations of Ural forests. Proceedings of scientific reports in the memory of B.P. Kolesnikov]. Ekaterinburg, Institute of Forest."
3183,"Lake Karujarv",4139,"Saarse, L., and L.K. Königsson. 1992. Holocene environmental changes on the island of Saaremaa, Estonia. PACT 37(2):97-131."
3183,"Lake Karujarv",4139,"Saarse, L., E. Vishnevskaya, and A. Sarv. 1990. Geological development of lakes, Island Saaremaa. Proceedings of the Estonian Academy of Science, Biology 39(1):34-45. Notes: In Russian, with English summary"
3184,"Karukula",4140,
3184,"Karukula",4140,
3185,"Kassjön",4141,"Renberg, I. 1986. Varviga sjösediment i miljökontrollen. Statens. Naturvardsverk, Rapport 3083, Solna, Sweden."
3185,"Kassjön",4141,"Segerström, U. 1990. The natural Holocene vegetation development and the introduction of agriculture in northern Norrland, Sweden. Studies of soil peat and especially varved lake sediments. Doctoral dissertation. Department of Ecological Botany, Umea University, Umea, Sweden."
3185,"Kassjön",4141,"Renberg, I., and U. Segerström. 1981. Applications of varved lake sediments in palaeoenvironmental studies. Wahlenbergia 7:125-133."
3185,"Kassjön",4141,"Renberg, I., and U. Segerström. 1981. The initial points on a shoreline displacement curve for southern Västerbotten, dated by varve-counts of lake sediments. Striae 14:174-176."
3185,"Kassjön",4141,"Segerström, U., and I. Renberg. 1986. Calculating net annual accumulation rates of sediment components exemplified by pollen. Hydrobiologia 143:45-47."
3185,"Kassjön",4141,"Segerström, U., I. Renberg, and J.E. Wallin. 1984. Segerström, U., I. Renberg, and J.E. Wallin. 1984. Annual sediment accumulation and land use history; investigations of varved lake sediments. Verh. Internat. Verein. Limnol 22:1396-1403."
3186,"Lake Orestiás",24356,"Kouli, K., and M.D. Dermitzakis. 2010. 11. Lake Orestiás (Kastoria, northern Greece). Grana 49:154-156."
3186,"Lake Orestiás",4142,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3187,"Kaz Gölü",4143,"Bottema, S., H. Woldring, and B. Aytuğ. 1993. Late Quaternary vegetation history of northern Turkey. Palaeohistoria 35/36:13-72. http://rjh.ub.rug.nl/Palaeohistoria/article/view/25071."
3188,"Khodzal",4144,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian."
3189,"Kepskoe",4145,"Elina, G.A. 1981. Printsipy i metody rekonstruktsii i kartirovaniya rastitelonosti golotsena [Principles and methods for reconstruction and mapping of Holocene vegetation]. Nauka, Leningrad, Russia. Notes: 159 pp."
3190,"Khimaditis",4146,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3191,"Khimaditis Ib",4147,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3192,"Khimaditis III",4148,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3192,"Khimaditis III",4148,"Bottema, S. 1982. Palynological investigations in Greece with special reference to pollen as indicator of human activity. Palaeohistoria 24:257-289."
3193,"Khimaditis IV",4149,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
3194,"King's Pool",4150,"Bartley, D.D., and A.V. Morgan. 1990. The palynological record of the King's Pool, Stafford, England. New Phytologist 116(1):177-194. https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1990.tb00522.x. [DOI: 10.1111/j.1469-8137.1990.tb00522.x]"
3195,"Kirkkosaari",4151,"Rankama, T., and I. Vuorela. 1988. Between inland and coast in Metal Age Finland - human impact on the primeval forests of Southern Häme during the Iron Age. Memoranda Societatis Pro Fauna et Flora Fennica 64:25-34."
3196,"Kittilä",4152,"Hicks, S. 1988. The representation of different farming practices in pollen diagrams from northern Finland. Pages 189-207 in H.H. Birks, H.J.B. Birks, P.E. Kaland, and D. Moe, editors. The Cultural Landscape - Past, Present and Future. Cambridge University Press, Cambridge, UK."
3196,"Kittilä",4152,"Hicks, S. 1988. Siitepölytodisteita Hailuodon varhaisesta asutuksesta (Palynological evidence for the occupation of Hailuoto). Oulun Yliopisto Historian Laitos 202:35-88."
3196,"Kittilä",4152,"Hicks, S. 1992. Modern pollen deposition and its use in interpreting the occupation history of the island Hailuto Finland. Vegetation History and Archaeobotany 1(2):75-86. [DOI: 10.1007/BF00206087]"
3197,"Kletnia Stara",4153,"Zarski, M. 1993. Descriptions to the geological map of Poland sheet. Deblin."
3197,"Kletnia Stara",4153,"Zarski, M. 1989. Nowe stanowisko interglacjału eemskiego w okolicach Dęblina [A new locality of Eemian interglacial deposits near Deblin]. Kwartalnik Geologiczny 33(2):269-275."
3198,"Kluki",4154,"Tobolski, K. 1987. Holocene vegetational development based on the Kluki reference site in the Gardno Leba Plain. In M. Ralska-Jasiewiczowa, editor. Environmental changes recorded in lakes and mires of Poland during the last 13000 years. Part 2. Warzawa/Krakau. Acta Palaeobotanica 27:179.222."
3199,"Koldychevo",4155,"Elovicheva, Y.K., and I.I. Bogdel. 1985. Novye razrezy golosena Belarusi [New Holocene sections of Byelorussia]. Pages 141-169 in Geologicheskoe stroenie osadochnoi tolshchi Belorussii [Geological composition of sedimentary sequence of Byelorussia], Nauka i Tekhnika edition. Minsk, Byelorussia."
3199,"Koldychevo",4155,"Bogdel, I.I. 1984. Razvitie prirody Belorrussii v golotsene [Holocane environmental changes of Byelorussia]. Doctoral dissertation. Belarusskii Universety, Minsk, Belarus. Notes: 192 pages"
3200,"Lake Kolmilaträsk",4156,"Sarmaja-Korjonen, K., Y. Vasari, and C.A. Hæggström. 1991. Taxus baccata and influence of Iron Age man on the vegetation in Åland, SW Finland. Annales Botanici Fennici 28:143-159. https://www.jstor.org/stable/23725403."
3201,"Komořanské jezero",24089,"Jankovská, V. 1983. Palynologische Forschung am ehemaligen Komorany-See (Spätglazial bis Subatlantikum). Věstník Ústředního ústavu geologického 58(2):99-107."
3201,"Komořanské jezero",24089,"Jankovská, V. 1984. Radiokarbondatierung der Sedimente aus dem ehemaligen Komorany-See (NW-Böhmen). Věstník Ústředního ústavu geologického 59(4):235-236."
3201,"Komořanské jezero",24089,"Jankovská, V., and P. Pokorný. 2013. Reevaluation of the palaeoenvironmental record of the former Komořanské jezero lake: late-glacial and Holocene palaeolimnology and vegetation development in north-western Bohemia, Czech Republic. Preslia 85(3):265-287."
3201,"Komořanské jezero",24087,"Jankovská, V. 2000. Komořanské jezero Lake (CZ, NW Bohemia) - A Unique Natural Archive. Geolines 11:115-117."
3201,"Komořanské jezero",4157,"Jankovská, V. 1988. Palynologische Erforschung archäologischer Proben aus dem Komořanské jezero-See bei Most (NW-Böhmen). Folia Geobotanica & Phytotaxonomica 23(1):45-78."
3201,"Komořanské jezero",4158,"Jankovská, V. 1988. Palynologische Erforschung archäologischer Proben aus dem Komořanské jezero-See bei Most (NW-Böhmen). Folia Geobotanica & Phytotaxonomica 23(1):45-78."
3201,"Komořanské jezero",4159,"Jankovská, V. 1988. Palynologische Erforschung archäologischer Proben aus dem Komořanské jezero-See bei Most (NW-Böhmen). Folia Geobotanica & Phytotaxonomica 23(1):45-78."
3202,"Koppalosuo",4160,
3202,"Koppalosuo",4160,
3203,"Köycegiz Gölü",4161,"Van Zeist, W., H. Woldring, and D. Stapert. 1975. Late Quaternary vegetation and climate of southwestern Turkey. Palaeohistoria 17:53-144."
3204,"Krageholmssjön",4162,"Regnéll, J. 1989. Vegetation and land use during 6000 years. Palaeoecology of the cultural landscape at two lake sites in southern Skåne, Sweden. Doctoral dissertation. Lund University, Lund, Sweden. Notes: Lundqua Thesis 27, 1-62"
3204,"Krageholmssjön",23013,"Gaillard-Lemdahl, M.J. 1991. Palaeohydrological studies and their contribution to paleoecological and palaeoclimatic reconstructions. Pages 275-282 in B.E. Berglund, editor. The cultural landscape during 6000 years in southern Sweden - the Ystad project. Ecological Bulletins, 41. Munksgaard International Booksellers and Publishers, Copenhagen."
3204,"Krageholmssjön",23013,"Gaillard-Lemdahl, M.J., B.E. Berglund, H. Göransson, M. Hjelmroos, E. Kolstrup, and J. Regnéll. 1991. Appendix A. Chronology of the pollen diagrams from the Ystad area. Pages 489-495 in B.E. Berglund, editor. The Cultural Landscape During 6000 Years in Southern Sweden: The Ystad Project (Ecological Bulletins, Band 41)."
3204,"Krageholmssjön",23013,"Gaillard-Lemdahl, M.J. 1984. A palaeohydrological study of Krageholmssjön (Scania, south Sweden): Regional vegetation history and water-level changes. Lundqua Report 25:1-36. Notes: Department of Quaternary Geology, Lund Univsersity."
3204,"Krageholmssjön",23013,"Lemdahl, G., and B. Liedberg Jönsson. 1988. A late Weichselian palaeoenvironmental reconstruction based on biostratigraphic studies at a site in southwest Skane, southern Sweden. Lundqua Thesis 24:1-26."
3205,"Krugloye",4163,"Kremenetski, C.V., and N.G. Patyk-Kara. 1997. Holocene vegetation dynamics of the southeast Kola Peninsula, Russia. The Holocene 7:473-479. [DOI: 10.1177/095968369700700409]"
3206,"Kroksjön",4164,"Björck, S. 1979. Late Weichselian stratigraphy of Blekinge, SE Sweden, and water level changes in the Baltic Ice Lake. Doctoral dissertation. Lund University, Lund, Sweden. Notes: Lundqua Thesis 7, 248pp"
3206,"Kroksjön",4164,"Björck, S., J.A. Dearing, and A. Jonsson. 1982. Magnetic susceptibility of Late Weichselian deposits in southeastern Sweden. Boreas 11:99-111."
3207,"Krontjärnen",4165,"Segerström, U. 1990. The post-glacial history of vegetation and agriculture in the Luleälv river valley. Archaeology and Environment 7:1-80."
3207,"Krontjärnen",4165,"Segerström, U., I. Renberg, and J.E. Wallin. 1984. Segerström, U., I. Renberg, and J.E. Wallin. 1984. Annual sediment accumulation and land use history; investigations of varved lake sediments. Verh. Internat. Verein. Limnol 22:1396-1403."
3208,"Kubenskoe Lake",4166,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
3208,"Kubenskoe Lake",4166,"Davydova, N. 1986. Diatom analysis [in Russian].The lake history of USSR (Istoria ozer SSSR)."
3208,"Kubenskoe Lake",4166,"Khomutova, V.I. 1989. Paleogeography and biostratigraphy of lake sediments from forest zone of European part of USSR by spore-pollen data [in Russian]. Specialization 11.00.04 - geomorphology and evolution geography. Doctoral dissertation. Leningrad, Russia."
3208,"Kubenskoe Lake",4166,"Arslanov, K., V. Auslender, L. Gromova, A. Zubkov, and V. Khomutova. 1970. Palaeogeography peculiarities and absolute age of the maximum stage of Valday glaciation in the region of Lake Kubenskoe [in Russian]. Reports of Academy of Sciences of USSR (Doklady Akademii Nauk SSSR 195(6):1395-1399."
3209,"Küçük Akgöl",4167,"Bottema, S., H. Woldring, and B. Aytuğ. 1993. Late Quaternary vegetation history of northern Turkey. Palaeohistoria 35/36:13-72. http://rjh.ub.rug.nl/Palaeohistoria/article/view/25071."
3210,"Kuivajarvi",4168,
3210,"Kuivajarvi",4168,
3211,"Kunyok",4169,"Kremenetski, C.V., T. Vaschalova, S. Goriachkin, A.E. Cherkinsky, and L.D. Sulerzhitsky. 1997. Holocene pollen stratigraphy and bog development in the western part of the Kola Peninsula, Russia. Boreas 26:91-102. [DOI: 10.1111/j.1502-3885.1997.tb00656x]"
3212,"Kupena",24032,"Tonkov, S., M.A. Lazarova, E.D.B. Bozilova, D. Ivanov, and I. Snowball. 2013. 19. Mire Kupena, Western Rhodopes Mountains (South Bulgaria). Grana 52(3):238-240. 10.1080/00173134.2012.745596."
